Date,Country,infections,Month,Year
1/23/2020,Austria,0,1,2020
1/24/2020,Austria,0,1,2020
1/25/2020,Austria,0,1,2020
1/26/2020,Austria,0,1,2020
1/27/2020,Austria,0,1,2020
1/28/2020,Austria,0,1,2020
1/29/2020,Austria,0,1,2020
1/30/2020,Austria,0,1,2020
1/31/2020,Austria,0,1,2020
2/1/2020,Austria,0,2,2020
2/2/2020,Austria,0,2,2020
2/3/2020,Austria,0,2,2020
2/4/2020,Austria,0,2,2020
2/5/2020,Austria,0,2,2020
2/6/2020,Austria,0,2,2020
2/7/2020,Austria,0,2,2020
2/8/2020,Austria,0,2,2020
2/9/2020,Austria,0,2,2020
2/10/2020,Austria,0,2,2020
2/11/2020,Austria,0,2,2020
2/12/2020,Austria,0,2,2020
2/13/2020,Austria,0,2,2020
2/14/2020,Austria,0,2,2020
2/15/2020,Austria,0,2,2020
2/16/2020,Austria,0,2,2020
2/17/2020,Austria,0,2,2020
2/18/2020,Austria,0,2,2020
2/19/2020,Austria,0,2,2020
2/20/2020,Austria,0,2,2020
2/21/2020,Austria,0,2,2020
2/22/2020,Austria,0,2,2020
2/23/2020,Austria,0,2,2020
2/24/2020,Austria,0,2,2020
2/25/2020,Austria,0,2,2020
2/26/2020,Austria,0,2,2020
2/27/2020,Austria,0,2,2020
2/28/2020,Austria,0,2,2020
2/29/2020,Austria,0,2,2020
3/1/2020,Austria,0,3,2020
3/2/2020,Austria,0,3,2020
3/3/2020,Austria,0,3,2020
3/4/2020,Austria,0,3,2020
3/5/2020,Austria,0,3,2020
3/6/2020,Austria,0,3,2020
3/7/2020,Austria,0,3,2020
3/8/2020,Austria,0,3,2020
3/9/2020,Austria,0,3,2020
3/10/2020,Austria,0,3,2020
3/11/2020,Austria,0,3,2020
3/12/2020,Austria,0,3,2020
3/13/2020,Austria,0,3,2020
3/14/2020,Austria,1,3,2020
3/15/2020,Austria,0,3,2020
3/16/2020,Austria,1,3,2020
3/17/2020,Austria,1,3,2020
3/18/2020,Austria,2,3,2020
3/19/2020,Austria,2,3,2020
3/20/2020,Austria,5,3,2020
3/21/2020,Austria,3,3,2020
3/22/2020,Austria,5,3,2020
3/23/2020,Austria,6,3,2020
3/24/2020,Austria,8,3,2020
3/25/2020,Austria,12,3,2020
3/26/2020,Austria,10,3,2020
3/27/2020,Austria,9,3,2020
3/28/2020,Austria,16,3,2020
3/29/2020,Austria,20,3,2020
3/30/2020,Austria,19,3,2020
3/31/2020,Austria,14,3,2020
4/1/2020,Austria,21,4,2020
4/2/2020,Austria,19,4,2020
4/3/2020,Austria,11,4,2020
4/4/2020,Austria,20,4,2020
4/5/2020,Austria,18,4,2020
4/6/2020,Austria,20,4,2020
4/7/2020,Austria,22,4,2020
4/8/2020,Austria,31,4,2020
4/9/2020,Austria,29,4,2020
4/10/2020,Austria,17,4,2020
4/11/2020,Austria,22,4,2020
4/12/2020,Austria,23,4,2020
4/13/2020,Austria,17,4,2020
4/14/2020,Austria,12,4,2020
4/15/2020,Austria,21,4,2020
4/16/2020,Austria,13,4,2020
4/17/2020,Austria,16,4,2020
4/18/2020,Austria,23,4,2020
4/19/2020,Austria,13,4,2020
4/20/2020,Austria,18,4,2020
4/21/2020,Austria,17,4,2020
4/22/2020,Austria,9,4,2020
4/23/2020,Austria,18,4,2020
4/24/2020,Austria,12,4,2020
4/25/2020,Austria,8,4,2020
4/26/2020,Austria,8,4,2020
4/27/2020,Austria,14,4,2020
4/28/2020,Austria,9,4,2020
4/29/2020,Austria,6,4,2020
4/30/2020,Austria,14,4,2020
5/1/2020,Austria,7,5,2020
5/2/2020,Austria,7,5,2020
5/3/2020,Austria,4,5,2020
5/4/2020,Austria,4,5,2020
5/5/2020,Austria,9,5,2020
5/6/2020,Austria,4,5,2020
5/7/2020,Austria,3,5,2020
5/8/2020,Austria,7,5,2020
5/9/2020,Austria,3,5,2020
5/10/2020,Austria,5,5,2020
5/11/2020,Austria,7,5,2020
5/12/2020,Austria,3,5,2020
5/13/2020,Austria,3,5,2020
5/14/2020,Austria,1,5,2020
5/15/2020,Austria,3,5,2020
5/16/2020,Austria,4,5,2020
5/17/2020,Austria,0,5,2020
5/18/2020,Austria,1,5,2020
5/19/2020,Austria,2,5,2020
5/20/2020,Austria,4,5,2020
5/21/2020,Austria,1,5,2020
5/22/2020,Austria,4,5,2020
5/23/2020,Austria,3,5,2020
5/24/2020,Austria,4,5,2020
5/25/2020,Austria,1,5,2020
5/26/2020,Austria,1,5,2020
5/27/2020,Austria,2,5,2020
5/28/2020,Austria,4,5,2020
5/29/2020,Austria,1,5,2020
5/30/2020,Austria,2,5,2020
5/31/2020,Austria,2,5,2020
6/1/2020,Austria,0,6,2020
6/2/2020,Austria,4,6,2020
6/3/2020,Austria,1,6,2020
6/4/2020,Austria,3,6,2020
6/5/2020,Austria,3,6,2020
6/6/2020,Austria,4,6,2020
6/7/2020,Austria,2,6,2020
6/8/2020,Austria,1,6,2020
6/9/2020,Austria,1,6,2020
6/10/2020,Austria,3,6,2020
6/11/2020,Austria,2,6,2020
6/12/2020,Austria,2,6,2020
6/13/2020,Austria,1,6,2020
6/14/2020,Austria,2,6,2020
6/15/2020,Austria,1,6,2020
6/16/2020,Austria,5,6,2020
6/17/2020,Austria,6,6,2020
