Date,Country,infections,Month,Year
1/23/2020,Austria,0,1,2020
1/24/2020,Austria,0,1,2020
1/25/2020,Austria,0,1,2020
1/26/2020,Austria,0,1,2020
1/27/2020,Austria,0,1,2020
1/28/2020,Austria,0,1,2020
1/29/2020,Austria,0,1,2020
1/30/2020,Austria,0,1,2020
1/31/2020,Austria,0,1,2020
2/1/2020,Austria,0,2,2020
2/2/2020,Austria,0,2,2020
2/3/2020,Austria,0,2,2020
2/4/2020,Austria,0,2,2020
2/5/2020,Austria,0,2,2020
2/6/2020,Austria,0,2,2020
2/7/2020,Austria,0,2,2020
2/8/2020,Austria,0,2,2020
2/9/2020,Austria,0,2,2020
2/10/2020,Austria,0,2,2020
2/11/2020,Austria,0,2,2020
2/12/2020,Austria,0,2,2020
2/13/2020,Austria,0,2,2020
2/14/2020,Austria,0,2,2020
2/15/2020,Austria,0,2,2020
2/16/2020,Austria,0,2,2020
2/17/2020,Austria,0,2,2020
2/18/2020,Austria,0,2,2020
2/19/2020,Austria,0,2,2020
2/20/2020,Austria,0,2,2020
2/21/2020,Austria,0,2,2020
2/22/2020,Austria,0,2,2020
2/23/2020,Austria,0,2,2020
2/24/2020,Austria,0,2,2020
2/25/2020,Austria,2,2,2020
2/26/2020,Austria,-1,2,2020
2/27/2020,Austria,0,2,2020
2/28/2020,Austria,0,2,2020
2/29/2020,Austria,2,2,2020
3/1/2020,Austria,4,3,2020
3/2/2020,Austria,1,3,2020
3/3/2020,Austria,4,3,2020
3/4/2020,Austria,5,3,2020
3/5/2020,Austria,6,3,2020
3/6/2020,Austria,14,3,2020
3/7/2020,Austria,9,3,2020
3/8/2020,Austria,29,3,2020
3/9/2020,Austria,23,3,2020
3/10/2020,Austria,28,3,2020
3/11/2020,Austria,22,3,2020
3/12/2020,Austria,55,3,2020
3/13/2020,Austria,109,3,2020
3/14/2020,Austria,97,3,2020
3/15/2020,Austria,182,3,2020
3/16/2020,Austria,210,3,2020
3/17/2020,Austria,198,3,2020
3/18/2020,Austria,226,3,2020
3/19/2020,Austria,346,3,2020
3/20/2020,Austria,372,3,2020
3/21/2020,Austria,455,3,2020
3/22/2020,Austria,511,3,2020
3/23/2020,Austria,546,3,2020
3/24/2020,Austria,618,3,2020
3/25/2020,Austria,687,3,2020
3/26/2020,Austria,723,3,2020
3/27/2020,Austria,754,3,2020
3/28/2020,Austria,1056,3,2020
3/29/2020,Austria,807,3,2020
3/30/2020,Austria,617,3,2020
3/31/2020,Austria,547,3,2020
4/1/2020,Austria,673,4,2020
4/2/2020,Austria,549,4,2020
4/3/2020,Austria,549,4,2020
4/4/2020,Austria,438,4,2020
4/5/2020,Austria,411,4,2020
4/6/2020,Austria,253,4,2020
4/7/2020,Austria,183,4,2020
4/8/2020,Austria,306,4,2020
4/9/2020,Austria,289,4,2020
4/10/2020,Austria,290,4,2020
4/11/2020,Austria,276,4,2020
4/12/2020,Austria,357,4,2020
4/13/2020,Austria,203,4,2020
4/14/2020,Austria,111,4,2020
4/15/2020,Austria,87,4,2020
4/16/2020,Austria,150,4,2020
4/17/2020,Austria,129,4,2020
4/18/2020,Austria,111,4,2020
4/19/2020,Austria,100,4,2020
4/20/2020,Austria,60,4,2020
4/21/2020,Austria,47,4,2020
4/22/2020,Austria,68,4,2020
4/23/2020,Austria,70,4,2020
4/24/2020,Austria,73,4,2020
4/25/2020,Austria,60,4,2020
4/26/2020,Austria,79,4,2020
4/27/2020,Austria,62,4,2020
4/28/2020,Austria,35,4,2020
4/29/2020,Austria,70,4,2020
4/30/2020,Austria,49,4,2020
5/1/2020,Austria,61,5,2020
5/2/2020,Austria,54,5,2020
5/3/2020,Austria,37,5,2020
5/4/2020,Austria,28,5,2020
5/5/2020,Austria,12,5,2020
5/6/2020,Austria,30,5,2020
5/7/2020,Austria,54,5,2020
5/8/2020,Austria,46,5,2020
5/9/2020,Austria,39,5,2020
5/10/2020,Austria,49,5,2020
5/11/2020,Austria,30,5,2020
5/12/2020,Austria,15,5,2020
5/13/2020,Austria,66,5,2020
5/14/2020,Austria,38,5,2020
5/15/2020,Austria,52,5,2020
5/16/2020,Austria,54,5,2020
5/17/2020,Austria,81,5,2020
5/18/2020,Austria,15,5,2020
5/19/2020,Austria,26,5,2020
5/20/2020,Austria,58,5,2020
5/21/2020,Austria,61,5,2020
5/22/2020,Austria,30,5,2020
5/23/2020,Austria,31,5,2020
5/24/2020,Austria,28,5,2020
5/25/2020,Austria,24,5,2020
5/26/2020,Austria,31,5,2020
5/27/2020,Austria,25,5,2020
5/28/2020,Austria,22,5,2020
5/29/2020,Austria,50,5,2020
5/30/2020,Austria,19,5,2020
5/31/2020,Austria,42,5,2020
6/1/2020,Austria,32,6,2020
6/2/2020,Austria,5,6,2020
6/3/2020,Austria,19,6,2020
6/4/2020,Austria,16,6,2020
6/5/2020,Austria,53,6,2020
6/6/2020,Austria,17,6,2020
6/7/2020,Austria,67,6,2020
6/8/2020,Austria,31,6,2020
6/9/2020,Austria,25,6,2020
6/10/2020,Austria,24,6,2020
6/11/2020,Austria,15,6,2020
6/12/2020,Austria,34,6,2020
6/13/2020,Austria,22,6,2020
6/14/2020,Austria,37,6,2020
6/15/2020,Austria,22,6,2020
6/16/2020,Austria,18,6,2020
6/17/2020,Austria,53,6,2020
