Country,Month,Year,infections,country,current_health_expenditure_2019,physicians_density_per_1000_2020_to_2018,Hospital_bed_density_per_1000_2018_to_2017,geography_area_total_sq_km,real_GDP_per _capita_3year_average_2020_2018,GDP_official_exchange_rate_Billion,Population,Real_GDP_purchasing_power_parity_3year_ave
Austria,1,2020,0.0,Austria,0.104,5.29,7.3,83871.0,54333.0,445.0,8913088.0,483.0
Austria,1,2021,53223.0,Austria,0.104,5.29,7.3,83871.0,54333.0,445.0,8913088.0,483.0
Austria,1,2022,564791.0,Austria,0.104,5.29,7.3,83871.0,54333.0,445.0,8913088.0,483.0
Austria,2,2020,3.0,Austria,0.104,5.29,7.3,83871.0,54333.0,445.0,8913088.0,483.0
Austria,2,2021,43360.0,Austria,0.104,5.29,7.3,83871.0,54333.0,445.0,8913088.0,483.0
Austria,2,2022,835721.0,Austria,0.104,5.29,7.3,83871.0,54333.0,445.0,8913088.0,483.0
Austria,3,2020,9261.0,Austria,0.104,5.29,7.3,83871.0,54333.0,445.0,8913088.0,483.0
Austria,3,2021,84656.0,Austria,0.104,5.29,7.3,83871.0,54333.0,445.0,8913088.0,483.0
Austria,3,2022,1170725.0,Austria,0.104,5.29,7.3,83871.0,54333.0,445.0,8913088.0,483.0
Austria,4,2020,6138.0,Austria,0.104,5.29,7.3,83871.0,54333.0,445.0,8913088.0,483.0
Austria,4,2021,74267.0,Austria,0.104,5.29,7.3,83871.0,54333.0,445.0,8913088.0,483.0
Austria,4,2022,332696.0,Austria,0.104,5.29,7.3,83871.0,54333.0,445.0,8913088.0,483.0
Austria,5,2020,1208.0,Austria,0.104,5.29,7.3,83871.0,54333.0,445.0,8913088.0,483.0
Austria,5,2021,28153.0,Austria,0.104,5.29,7.3,83871.0,54333.0,445.0,8913088.0,483.0
Austria,5,2022,113409.0,Austria,0.104,5.29,7.3,83871.0,54333.0,445.0,8913088.0,483.0
Austria,6,2020,1019.0,Austria,0.104,5.29,7.3,83871.0,54333.0,445.0,8913088.0,483.0
Austria,6,2021,6214.0,Austria,0.104,5.29,7.3,83871.0,54333.0,445.0,8913088.0,483.0
Austria,6,2022,171614.0,Austria,0.104,5.29,7.3,83871.0,54333.0,445.0,8913088.0,483.0
Austria,7,2020,3244.0,Austria,0.104,5.29,7.3,83871.0,54333.0,445.0,8913088.0,483.0
Austria,7,2021,8307.0,Austria,0.104,5.29,7.3,83871.0,54333.0,445.0,8913088.0,483.0
Austria,7,2022,314276.0,Austria,0.104,5.29,7.3,83871.0,54333.0,445.0,8913088.0,483.0
Austria,8,2020,6258.0,Austria,0.104,5.29,7.3,83871.0,54333.0,445.0,8913088.0,483.0
Austria,8,2021,28377.0,Austria,0.104,5.29,7.3,83871.0,54333.0,445.0,8913088.0,483.0
Austria,8,2022,181967.0,Austria,0.104,5.29,7.3,83871.0,54333.0,445.0,8913088.0,483.0
