Country,GDP_Ave,GDP_perc,Death,death_perc
Barbados,14733,38.64,560,1.04
Papua New Guinea,4200,11.01,668,1.24
Belize,6900,18.09,687,1.27
Qatar,88767,232.78,684,1.27
Lesotho,2500,6.56,706,1.31
Mali,2267,5.94,742,1.37
Laos,7767,20.37,758,1.4
Malta,42167,110.58,808,1.5
Tanzania,2633,6.9,845,1.56
Haiti,2900,7.6,860,1.59
Fiji,12833,33.65,878,1.62
Mauritania,5067,13.29,997,1.84
Mauritius,21533,56.47,1032,1.91
Luxembourg,112600,295.28,1147,2.12
Cyprus,39167,102.71,1200,2.22
Guyana,14767,38.72,1281,2.37
Somalia,867,2.27,1361,2.52
Suriname,18033,47.29,1392,2.58
Madagascar,1567,4.11,1411,2.61
Eswatini,8500,22.29,1422,2.63
Ghana,5300,13.9,1460,2.7
Rwanda,2133,5.59,1467,2.71
Bahrain,44067,115.56,1529,2.83
Uzbekistan,6933,18.18,1637,3.03
Singapore,96667,253.5,1687,3.12
Angola,6600,17.31,1917,3.55
Cameroon,3600,9.44,1960,3.63
Senegal,3333,8.74,1968,3.64
New Zealand,42733,112.06,2120,3.92
Mongolia,11900,31.21,2131,3.94
Yemen,2800,7.34,2159,4
Mozambique,1267,3.32,2224,4.12
United Arab Emirates,67095,175.95,2348,4.34
Kuwait,50419,132.22,2568,4.75
Malawi,1500,3.93,2683,4.96
Estonia,35867,94.06,2748,5.09
Botswana,17133,44.93,2790,5.16
Montenegro,20167,52.89,2787,5.16
Kyrgyzstan,5033,13.2,2991,5.53
Cambodia,4267,11.19,3056,5.66
Nigeria,5067,13.29,3155,5.84
Syria,3000,7.87,3163,5.85
Kosovo,11067,29.02,3202,5.93
Jamaica,9400,24.65,3320,6.14
Albania,13433,35.23,3593,6.65
Uganda,2167,5.68,3630,6.72
Zambia,3433,9,4017,7.43
Namibia,9600,25.17,4080,7.55
El Salvador,8500,22.29,4230,7.83
Norway,64133,168.18,4238,7.84
Trinidad and Tobago,25267,66.26,4255,7.87
Dominican Republic,17700,46.42,4384,8.11
Oman,28261,74.11,4628,8.56
Sudan,4167,10.93,4972,9.2
Zimbabwe,3000,7.87,5606,10.37
Kenya,4233,11.1,5678,10.51
Venezuela,9874,25.89,5823,10.78
Latvia,30267,79.37,6062,11.22
Libya,13500,35.4,6437,11.91
Finland,48033,125.96,6741,12.47
Algeria,11267,29.55,6881,12.73
Slovenia,37800,99.13,6895,12.76
Belarus,19100,50.09,7118,13.17
Denmark,56633,148.51,7436,13.76
Uruguay,22533,59.09,7518,13.91
Ethiopia,2200,5.77,7572,14.01
Afghanistan,2033,5.33,7826,14.48
Ireland,87267,228.85,8066,14.93
Panama,29267,76.75,8509,15.75
Cuba,12200,31.99,8530,15.78
Armenia,13000,34.09,8709,16.12
Costa Rica,20367,53.41,9009,16.67
Lithuania,36400,95.46,9398,17.39
Saudi Arabia,46300,121.42,9418,17.43
North Macedonia,16167,42.4,9564,17.7
Azerbaijan,14100,36.98,9957,18.43
Lebanon,13933,36.54,10713,19.82
Honduras,5500,14.42,11039,20.43
Israel,39233,102.88,11767,21.77
Moldova,12567,32.96,11894,22.01
Nepal,3867,10.14,12019,22.24
Switzerland,70000,183.57,14081,26.06
Jordan,9967,26.14,14122,26.13
China,15900,41.7,15685,29.03
Australia,49133,128.85,15786,29.21
Bosnia and Herzegovina,14533,38.11,16180,29.94
Morocco,7267,19.06,16282,30.13
Sri Lanka,12833,33.65,16782,31.06
Georgia,14467,37.94,16912,31.3
Croatia,27700,72.64,17191,31.81
Serbia,18000,47.2,17283,31.98
Kazakhstan,25733,67.48,19052,35.26
Burma,4867,12.76,19485,36.06
Paraguay,12567,32.96,19606,36.28
Guatemala,8533,22.38,19906,36.84
Slovakia,31100,81.56,20635,38.19
Sweden,51833,135.93,20753,38.4
Austria,54333,142.48,21037,38.93
Bolivia,8433,22.11,22240,41.16
Netherlands,55633,145.89,23499,43.49
Egypt,11733,30.77,24798,45.89
Portugal,33700,88.37,25290,46.8
Iraq,10067,26.4,25358,46.93
Tunisia,10433,27.36,29259,54.14
"Korea, South",42300,110.93,29390,54.39
Bangladesh,4667,12.24,29426,54.45
Pakistan,4667,12.24,30627,56.68
Belgium,50333,131.99,32941,60.96
Thailand,17967,47.12,32995,61.06
Greece,28733,75.35,33750,62.45
Ecuador,11100,29.11,35934,66.5
Malaysia,27467,72.03,36487,67.52
Bulgaria,22600,59.27,37920,70.17
Czechia,39633,103.93,41654,77.08
Vietnam,7933,20.8,43166,79.88
Canada,47900,125.61,46931,86.85
Japan,41153,107.92,47133,87.22
Hungary,31567,82.78,47938,88.71
Chile,24433,64.07,61813,114.39
Philippines,8467,22.2,64274,118.94
Romania,29067,76.23,67213,124.38
South Africa,12200,31.99,102363,189.42
Spain,39100,102.54,115239,213.25
Ukraine,12500,32.78,118069,218.49
Poland,32333,84.79,118170,218.67
Argentina,21533,56.47,130003,240.57
Colombia,14100,36.98,141850,262.49
Iran,12767,33.48,144596,267.58
Germany,52667,138.11,154535,285.97
France,44367,116.35,158317,292.97
Indonesia,11533,30.24,158829,293.91
Italy,41267,108.22,179436,332.05
United Kingdom,44667,117.13,210680,389.86
Peru,12333,32.34,217069,401.69
Mexico,19167,50.26,330424,611.45
Russia,26800,70.28,382705,708.2
India,6433,16.87,530500,981.69
Brazil,14533,38.11,688332,1273.76
