Austria,Italy,Portugal,Greece,Taiwan*,Indonesia,India,Mexico,Thailand,Iran
0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,1,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,2,0
0,0,0,0,1,0,0,0,0,0
0,0,0,0,3,0,0,0,6,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,1,0,0,0
0,2,0,0,1,0,0,0,5,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,6,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,5,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,7,0
0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,2,0,0,0,0,0
0,0,0,0,2,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,2
0,0,0,0,1,0,0,0,0,3
0,17,0,0,2,0,0,0,0,13
0,42,0,0,0,0,0,0,0,10
0,93,0,0,2,0,0,0,0,15
0,74,0,0,2,0,0,0,0,18
2,93,0,0,1,0,0,0,2,34
-1,131,0,1,1,0,0,0,3,44
0,202,0,2,0,0,0,0,0,106
0,233,0,1,2,0,0,1,1,143
2,240,0,0,5,0,0,3,1,205
4,566,0,3,1,0,0,1,0,385
1,342,2,0,1,2,2,0,1,523
4,466,0,0,1,0,0,0,0,835
5,587,3,2,0,0,23,0,0,586
6,769,3,22,2,0,2,0,4,591
14,778,5,14,1,2,1,1,1,1234
9,1247,7,1,0,0,3,0,2,1076
29,1492,10,27,0,2,5,1,0,743
23,1797,0,0,0,13,4,0,0,595
28,977,11,16,2,8,13,0,3,881
22,2313,18,10,1,7,6,1,6,958
55,2651,0,0,1,0,11,4,13,1075
109,2547,53,91,1,35,9,14,3,1289
97,3497,57,38,3,27,20,15,7,1365
182,3590,76,103,6,21,11,12,32,1209
210,3233,86,0,8,17,6,29,33,1053
198,3526,117,56,10,38,23,11,30,1178
226,4207,0,31,23,55,14,25,35,1192
346,5322,337,0,8,84,38,46,60,1046
372,5986,235,77,27,58,50,39,50,1237
455,6557,260,35,18,81,86,48,89,966
511,5560,320,94,16,64,66,65,188,1028
546,4789,460,71,26,65,103,51,122,1411
618,5249,302,48,20,107,37,38,106,1762
687,5210,633,92,20,104,121,70,107,2206
723,6203,549,0,17,103,70,110,111,2389
754,5909,724,0,15,153,160,132,91,2926
1056,5974,902,0,16,109,100,131,108,3076
807,5217,792,321,15,130,37,145,141,2901
617,4050,446,0,8,129,227,101,138,3186
547,4053,1035,0,16,114,146,121,128,3110
673,4782,808,0,7,149,601,163,120,2988
549,4668,783,0,10,113,545,132,104,2875
549,4585,852,457,9,196,24,178,103,2715
438,4805,638,60,7,106,515,202,89,2560
411,4316,754,62,8,181,506,253,102,2483
253,3599,452,20,10,218,1190,296,51,2274
183,3039,712,77,3,247,533,346,38,2089
306,3836,699,52,3,218,605,396,111,1997
289,4204,815,71,1,337,809,260,54,1634
290,3951,1516,54,2,219,873,403,50,1972
276,4694,515,72,3,330,848,375,45,1837
357,4092,598,0,3,399,759,442,33,1657
203,3153,349,64,5,316,1248,353,28,1617
111,2972,514,25,0,282,1034,385,34,1574
87,2667,643,22,2,297,835,448,30,1512
150,3786,750,15,0,380,1108,450,29,1606
129,3493,181,17,0,407,922,578,28,1499
111,3491,663,11,3,325,1370,622,33,1374
100,3047,521,10,22,327,1893,764,32,1343
60,2256,657,0,2,185,924,511,27,1294
47,2729,516,156,3,375,1541,729,19,1297
68,3370,603,7,1,283,1290,1043,15,1194
70,2646,371,55,1,357,1707,1089,13,1030
73,3021,444,27,1,436,1453,1239,15,1168
60,2357,595,16,1,396,1753,970,53,1134
79,2324,472,11,0,275,1607,835,15,1153
62,1739,163,17,0,214,1561,852,9,991
35,2091,295,32,0,415,1873,1223,7,1112
70,2086,183,10,0,260,1738,1047,9,1073
49,1872,540,15,0,347,1801,1425,7,983
61,1965,306,21,0,433,2394,1515,6,1006
54,1900,-161,8,3,292,2442,1349,6,802
37,1389,92,6,4,349,2806,1383,3,976
28,1221,242,6,2,395,3932,1434,18,1223
12,1075,178,10,0,484,2963,1120,1,1323
30,1444,480,21,1,367,3587,1609,1,1680
54,1401,533,15,1,338,3364,1982,3,1485
46,1327,553,13,0,336,3344,1906,8,1556
39,1083,138,19,0,533,3113,1938,4,1529
49,802,175,6,0,387,4353,1562,5,1383
30,744,98,10,0,233,3607,1305,6,1683
15,1402,234,18,0,484,3524,1997,2,1481
66,888,219,16,0,689,3763,1862,0,1958
38,992,187,10,0,568,3942,2409,1,1808
52,789,264,40,0,490,3787,2437,7,2102
54,875,227,9,0,529,4864,2112,0,1757
81,675,226,15,0,489,5050,2075,3,1806
15,451,173,2,0,496,4630,2414,3,2294
26,813,223,4,0,486,6147,2713,2,2111
58,665,228,10,0,693,5553,2248,1,2346
61,642,252,3,0,973,6198,2973,3,2392
30,652,288,20,1,634,6568,2960,0,2311
31,669,271,3,0,949,6629,3329,3,1869
28,531,152,2,0,526,7113,2764,0,2180
24,300,165,4,0,479,6414,2485,2,2023
31,397,219,7,0,415,5843,3455,3,1787
25,584,285,14,0,686,7293,3463,9,2080
22,593,304,3,0,687,7300,3377,11,2258
50,516,350,3,1,678,8105,3227,11,2819
19,416,257,6,0,557,8336,2885,1,2282
42,333,297,2,0,700,8782,3152,4,2516
32,200,200,1,1,467,7761,2771,1,2979
5,318,195,19,0,609,8821,3891,1,3117
19,321,366,15,0,684,9633,3912,1,3134
16,177,331,0,0,585,9889,4442,17,3574
