country,total_deaths,,
Afghanistan,7826.00,,
Albania,3593.00,,
Algeria,6881.00,,
Andorra,155.00,,
Angola,1917.00,,
Antigua and Barbuda,146.00,,
Argentina,130003.00,,
Armenia,8709.00,,
Australia,15786.00,,
Austria,21037.00,,
Azerbaijan,9957.00,,
Bahamas,833.00,,
Bahrain,1529.00,,
Bangladesh,29426.00,,
Barbados,560.00,,
Belarus,7118.00,,
Belgium,32941.00,,
Belize,687.00,,
Benin,163.00,,
Bhutan,21.00,,
Bolivia,22240.00,,
Bosnia and Herzegovina,16180.00,,
Botswana,2790.00,,
Brazil,688332.00,,
Brunei,225.00,,
Bulgaria,37920.00,,
Burkina Faso,387.00,,
Burma,19485.00,,
Burundi,38.00,,
Cabo Verde,410.00,,
Cambodia,3056.00,,
Cameroon,1960.00,,
Canada,46931.00,,
Central African Republic,113.00,,
Chad,194.00,,
Chile,61813.00,,
China,15685.00,,
Colombia,141850.00,,
Comoros,161.00,,
Congo,1831.00,,
Costa Rica,9009.00,,
Cote d'Ivoire,829.00,,
Croatia,17191.00,,
Cuba,8530.00,,
Cyprus,1200.00,,
Czechia,41654.00,,
Denmark,7436.00,,
Djibouti,189.00,,
Dominica,74.00,,
Dominican Republic,4384.00,,
Ecuador,35934.00,,
Egypt,24798.00,,
El Salvador,4230.00,,
Equatorial Guinea,183.00,,
Eritrea,103.00,,
Estonia,2748.00,,
Eswatini,1422.00,,
Ethiopia,7572.00,,
Fiji,878.00,,
Finland,6741.00,,
France,158317.00,,
Gabon,306.00,,
Gambia,372.00,,
Georgia,16912.00,,
Germany,154535.00,,
Ghana,1460.00,,
Greece,33750.00,,
Grenada,237.00,,
Guatemala,19906.00,,
Guinea,456.00,,
Guinea-Bissau,176.00,,
Guyana,1281.00,,
Haiti,860.00,,
Honduras,11039.00,,
Hungary,47938.00,,
Iceland,219.00,,
India,530500.00,,
Indonesia,158829.00,,
Iran,144596.00,,
Iraq,25358.00,,
Ireland,8066.00,,
Israel,11767.00,,
Italy,179436.00,,
Jamaica,3320.00,,
Japan,47133.00,,
Jordan,14122.00,,
Kazakhstan,19052.00,,
Kenya,5678.00,,
Kiribati,13.00,,
South Korea,29390.00,,
Kosovo,3202.00,,
Kuwait,2568.00,,
Kyrgyzstan,2991.00,,
Laos,758.00,,
Latvia,6062.00,,
Lebanon,10713.00,,
Lesotho,706.00,,
Liberia,294.00,,
Libya,6437.00,,
Liechtenstein,87.00,,
Lithuania,9398.00,,
Luxembourg,1147.00,,
Madagascar,1411.00,,
Malawi,2683.00,,
Malaysia,36487.00,,
Maldives,308.00,,
Mali,742.00,,
Malta,808.00,,
Marshall Islands,17.00,,
Mauritania,997.00,,
Mauritius,1032.00,,
Mexico,330424.00,,
Micronesia,55.00,,
Moldova,11894.00,,
Monaco,65.00,,
Mongolia,2131.00,,
Montenegro,2787.00,,
Morocco,16282.00,,
Mozambique,2224.00,,
Namibia,4080.00,,
Nepal,12019.00,,
Netherlands,23499.00,,
New Zealand,2120.00,,
Nicaragua,245.00,,
Niger,314.00,,
Nigeria,3155.00,,
North Macedonia,9564.00,,
Norway,4238.00,,
Oman,4628.00,,
Pakistan,30627.00,,
Palau,7.00,,
Panama,8509.00,,
Papua New Guinea,668.00,,
Paraguay,19606.00,,
Peru,217069.00,,
Philippines,64274.00,,
Poland,118170.00,,
Portugal,25290.00,,
Qatar,684.00,,
Romania,67213.00,,
Russia,382705.00,,
Rwanda,1467.00,,
Saint Kitts and Nevis,46.00,,
Saint Lucia,407.00,,
Saint Vincent and the Grenadines,116.00,,
Samoa,29.00,,
San Marino,119.00,,
Sao Tome and Principe,77.00,,
Saudi Arabia,9418.00,,
Senegal,1968.00,,
Serbia,17283.00,,
Seychelles,171.00,,
Sierra Leone,126.00,,
Singapore,1687.00,,
Slovakia,20635.00,,
Slovenia,6895.00,,
Solomon Islands,153.00,,
Somalia,1361.00,,
South Africa,102363.00,,
South Sudan,138.00,,
Spain,115239.00,,
Sri Lanka,16782.00,,
Sudan,4972.00,,
Suriname,1392.00,,
Sweden,20753.00,,
Switzerland,14081.00,,
Syria,3163.00,,
Taiwan,13198.00,,
Tajikistan,125.00,,
Tanzania,845.00,,
Thailand,32995.00,,
Timor-Leste,138.00,,
Togo,290.00,,
Tonga,12.00,,
Trinidad and Tobago,4255.00,,
Tunisia,29259.00,,
Turkey,101203.00,,
Tuvalu,0.00,,
US,1072594.00,,
Uganda,3630.00,,
Ukraine,118069.00,,
United Arab Emirates,2348.00,,
United Kingdom,210680.00,,
Uruguay,7518.00,,
Uzbekistan,1637.00,,
Vanuatu,14.00,,
Venezuela,5823.00,,
Vietnam,43166.00,,
West Bank and Gaza,5708.00,,
Winter Olympics 2022,0.00,,
Yemen,2159.00,,
Zambia,4017.00,,
Zimbabwe,5606.00,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
