Date,Austria,Italy,Portugal,Greece,Taiwan*,Indonesia,India,Mexico,Thailand,Iran
1/23/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/24/20,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
1/25/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1/26/20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
1/27/20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1/28/20,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0
1/29/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/30/20,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1/31/20,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0
2/1/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/2/20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2/3/20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2/4/20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0
2/5/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/6/20,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
2/7/20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/8/20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0
2/9/20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2/10/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/11/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2/12/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/13/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/14/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/15/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2/16/20,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2/17/20,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
2/18/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/19/20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
2/20/20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
2/21/20,0.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0
2/22/20,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2/23/20,0.0,93.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,15.0
2/24/20,0.0,74.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,18.0
2/25/20,2.0,93.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,34.0
2/26/20,-1.0,131.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,44.0
2/27/20,0.0,202.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,106.0
2/28/20,0.0,233.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,143.0
2/29/20,2.0,240.0,0.0,0.0,5.0,0.0,0.0,3.0,1.0,205.0
3/1/20,4.0,566.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,385.0
3/2/20,1.0,342.0,2.0,0.0,1.0,2.0,2.0,0.0,1.0,523.0
3/3/20,4.0,466.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,835.0
3/4/20,5.0,587.0,3.0,2.0,0.0,0.0,23.0,0.0,0.0,586.0
3/5/20,6.0,769.0,3.0,22.0,2.0,0.0,2.0,0.0,4.0,591.0
3/6/20,14.0,778.0,5.0,14.0,1.0,2.0,1.0,1.0,1.0,1234.0
3/7/20,9.0,1247.0,7.0,1.0,0.0,0.0,3.0,0.0,2.0,1076.0
3/8/20,29.0,1492.0,10.0,27.0,0.0,2.0,5.0,1.0,0.0,743.0
3/9/20,23.0,1797.0,0.0,0.0,0.0,13.0,4.0,0.0,0.0,595.0
3/10/20,28.0,977.0,11.0,16.0,2.0,8.0,13.0,0.0,3.0,881.0
3/11/20,22.0,2313.0,18.0,10.0,1.0,7.0,6.0,1.0,6.0,958.0
3/12/20,55.0,2651.0,0.0,0.0,1.0,0.0,11.0,4.0,13.0,1075.0
3/13/20,109.0,2547.0,53.0,91.0,1.0,35.0,9.0,14.0,3.0,1289.0
3/14/20,97.0,3497.0,57.0,38.0,3.0,27.0,20.0,15.0,7.0,1365.0
3/15/20,182.0,3590.0,76.0,103.0,6.0,21.0,11.0,12.0,32.0,1209.0
3/16/20,210.0,3233.0,86.0,0.0,8.0,17.0,6.0,29.0,33.0,1053.0
3/17/20,198.0,3526.0,117.0,56.0,10.0,38.0,23.0,11.0,30.0,1178.0
3/18/20,226.0,4207.0,0.0,31.0,23.0,55.0,14.0,25.0,35.0,1192.0
3/19/20,346.0,5322.0,337.0,0.0,8.0,84.0,38.0,46.0,60.0,1046.0
